"from","to","n","from_iso","to_iso"
"Dominican Republic","Jordan",0,"DOM","JOR"
"Ecuador","Jordan",0,"ECU","JOR"
"Egypt, Arab Rep.","Jordan",851803.477007084,"EGY","JOR"
"El Salvador","Jordan",0,"SLV","JOR"
"Equatorial Guinea","Jordan",0,"GNQ","JOR"
"Eritrea","Jordan",0,"ERI","JOR"
"Estonia","Jordan",0,"EST","JOR"
"Ethiopia","Jordan",0,"ETH","JOR"
"Faeroe Islands","Jordan",0,"FRO","JOR"
"Fiji","Jordan",0,"FJI","JOR"
"Finland","Jordan",0,"FIN","JOR"
"France","Jordan",3251.33187091643,"FRA","JOR"
"French Polynesia","Jordan",0,"PYF","JOR"
"Gabon","Jordan",0,"GAB","JOR"
"Gambia, The","Jordan",0,"GMB","JOR"
"Georgia","Jordan",0,"GEO","JOR"
"Germany","Jordan",5896.35476823539,"DEU","JOR"
"Ghana","Jordan",0,"GHA","JOR"
"Gibraltar","Jordan",0,"GIB","JOR"
"Greece","Jordan",0,"GRC","JOR"
"Greenland","Jordan",0,"GRL","JOR"
"Grenada","Jordan",0,"GRD","JOR"
"Guam","Jordan",0,"GUM","JOR"
"Guatemala","Jordan",0,"GTM","JOR"
"Guinea","Jordan",0,"GIN","JOR"
"Guinea-Bissau","Jordan",0,"GNB","JOR"
"Guyana","Jordan",0,"GUY","JOR"
"Haiti","Jordan",0,"HTI","JOR"
"Honduras","Jordan",0,"HND","JOR"
"Hong Kong, China","Jordan",0,"HKG","JOR"
"Hungary","Jordan",4827.73520226985,"HUN","JOR"
"Iceland","Jordan",0,"ISL","JOR"
"India","Jordan",28973.9900757891,"IND","JOR"
"Indonesia","Jordan",85716.9311423422,"IDN","JOR"
"Iran, Islamic Rep.","Jordan",780.622803506741,"IRN","JOR"
"Iraq","Jordan",303791.111221012,"IRQ","JOR"
"Ireland","Jordan",0,"IRL","JOR"
"Isle of Man","Jordan",0,"IMN","JOR"
"Israel","Jordan",12921.9599997961,"ISR","JOR"
"Italy","Jordan",2538.9188269394,"ITA","JOR"
"Jamaica","Jordan",0,"JAM","JOR"
"Japan","Jordan",856.411425206425,"JPN","JOR"
"Jordan","Jordan",0,"JOR","JOR"
"Kazakhstan","Jordan",0,"KAZ","JOR"
"Kenya","Jordan",0,"KEN","JOR"
"Kiribati","Jordan",0,"KIR","JOR"
"Korea, Dem. Rep.","Jordan",0,"PRK","JOR"
"Korea, Rep.","Jordan",780.622803506741,"KOR","JOR"
"Kosovo","Jordan",0,"KOS","JOR"
"Kuwait","Jordan",6184.35153069418,"KWT","JOR"
"Kyrgyz Republic","Jordan",0,"KGZ","JOR"
"Lao PDR","Jordan",0,"LAO","JOR"
"Latvia","Jordan",0,"LVA","JOR"
"Lebanon","Jordan",15119.8300290869,"LBN","JOR"
"Lesotho","Jordan",0,"LSO","JOR"
"Liberia","Jordan",0,"LBR","JOR"
"Libya","Jordan",8010.85731365656,"LBY","JOR"
"Liechtenstein","Jordan",0,"LIE","JOR"
"Lithuania","Jordan",0,"LTU","JOR"
"Luxembourg","Jordan",0,"LUX","JOR"
"Macao, China","Jordan",0,"MAC","JOR"
"Macedonia, FYR","Jordan",0,"MKD","JOR"
"Madagascar","Jordan",0,"MDG","JOR"
"Malawi","Jordan",0,"MWI","JOR"
"Malaysia","Jordan",2334.28954835026,"MYS","JOR"
"Maldives","Jordan",0,"MDV","JOR"
"Mali","Jordan",0,"MLI","JOR"
"Malta","Jordan",0,"MLT","JOR"
"Marshall Islands","Jordan",0,"MHL","JOR"
"Mauritania","Jordan",0,"MRT","JOR"
"Mauritius","Jordan",0,"MUS","JOR"
"Mayotte","Jordan",0,"MYT","JOR"
"Mexico","Jordan",0,"MEX","JOR"
"Micronesia, Fed. Sts.","Jordan",0,"FSM","JOR"
"Moldova","Jordan",0,"MDA","JOR"
"Monaco","Jordan",0,"MCO","JOR"
"Mongolia","Jordan",0,"MNG","JOR"
"Montenegro","Jordan",0,"MNE","JOR"
"Morocco","Jordan",4926.26041047944,"MAR","JOR"
"Mozambique","Jordan",0,"MOZ","JOR"
"Myanmar","Jordan",0,"MMR","JOR"
"Namibia","Jordan",0,"NAM","JOR"
"Nepal","Jordan",1493.03584748377,"NPL","JOR"
"Netherlands","Jordan",1644.61309088313,"NLD","JOR"
"Netherlands Antilles","Jordan",0,"ANT","JOR"
"New Caledonia","Jordan",0,"NCL","JOR"
"New Zealand","Jordan",0,"NZL","JOR"
"Nicaragua","Jordan",0,"NIC","JOR"
"Niger","Jordan",0,"NER","JOR"
"Nigeria","Jordan",0,"NGA","JOR"
"Northern Mariana Islands","Jordan",0,"MNP","JOR"
"Norway","Jordan",0,"NOR","JOR"
"Oman","Jordan",5236.99375944814,"OMN","JOR"
"Pakistan","Jordan",26776.1200464982,"PAK","JOR"
"Palau","Jordan",0,"PLW","JOR"
"Panama","Jordan",0,"PAN","JOR"
"Papua New Guinea","Jordan",0,"PNG","JOR"
"Paraguay","Jordan",0,"PRY","JOR"
"Peru","Jordan",0,"PER","JOR"
"Philippines","Jordan",31626.591835278,"PHL","JOR"
"Poland","Jordan",0,"POL","JOR"
"Portugal","Jordan",0,"PRT","JOR"
"Puerto Rico","Jordan",0,"PRI","JOR"
"Qatar","Jordan",1841.66350730231,"QAT","JOR"
"Romania","Jordan",2235.76434014067,"ROU","JOR"
"Russian Federation","Jordan",4911.1026861395,"RUS","JOR"
"Rwanda","Jordan",0,"RWA","JOR"
"Samoa","Jordan",0,"WSM","JOR"
"San Marino","Jordan",0,"SMR","JOR"
"São Tomé and Principe","Jordan",0,"STP","JOR"
"Saudi Arabia","Jordan",41418.4817588771,"SAU","JOR"
"Senegal","Jordan",0,"SEN","JOR"
"Serbia","Jordan",0,"SRB","JOR"
"Seychelles","Jordan",0,"SYC","JOR"
"Sierra Leone","Jordan",0,"SLE","JOR"
"Singapore","Jordan",0,"SGP","JOR"
"Slovak Republic","Jordan",0,"SVK","JOR"
"Slovenia","Jordan",0,"SVN","JOR"
"Solomon Islands","Jordan",0,"SLB","JOR"
"Somalia","Jordan",0,"SOM","JOR"
"South Africa","Jordan",0,"ZAF","JOR"
"Spain","Jordan",2508.60337825953,"ESP","JOR"
"Sri Lanka","Jordan",102708.740127411,"LKA","JOR"
"St. Kitts and Nevis","Jordan",0,"KNA","JOR"
"St. Lucia","Jordan",0,"LCA","JOR"
"St. Vincent and the Grenadines","Jordan",0,"VCT","JOR"
"Sudan","Jordan",20766.0823457133,"SDN","JOR"
"Suriname","Jordan",0,"SUR","JOR"
"Swaziland","Jordan",0,"SWZ","JOR"
"Sweden","Jordan",0,"SWE","JOR"
"Switzerland","Jordan",1644.61309088313,"CHE","JOR"
"Syrian Arab Republic","Jordan",288982.014540894,"SYR","JOR"
"Tajikistan","Jordan",0,"TJK","JOR"
"Tanzania","Jordan",0,"TZA","JOR"
"Thailand","Jordan",856.411425206425,"THA","JOR"
"Timor-Leste","Jordan",0,"TLS","JOR"
"Togo","Jordan",0,"TGO","JOR"
"Tonga","Jordan",0,"TON","JOR"
"Trinidad and Tobago","Jordan",0,"TTO","JOR"
"Tunisia","Jordan",2137.23913193108,"TUN","JOR"
"Turkey","Jordan",8442.85245734476,"TUR","JOR"
"Turkmenistan","Jordan",0,"TKM","JOR"
"Turks and Caicos Islands","Jordan",0,"TCA","JOR"
"Tuvalu","Jordan",0,"TUV","JOR"
"Uganda","Jordan",0,"UGA","JOR"
"Ukraine","Jordan",3258.9107330864,"UKR","JOR"
"United Arab Emirates","Jordan",1720.40171258282,"ARE","JOR"
"United Kingdom","Jordan",6654.24098523222,"GBR","JOR"
"United States","Jordan",21531.5474248801,"USA","JOR"
"Uruguay","Jordan",0,"URY","JOR"
"Uzbekistan","Jordan",0,"UZB","JOR"
"Vanuatu","Jordan",0,"VUT","JOR"
"Venezuela, RB","Jordan",0,"VEN","JOR"
"Vietnam","Jordan",0,"VNM","JOR"
"Virgin Islands (U.S.)","Jordan",0,"VIR","JOR"
"West Bank and Gaza","Jordan",873009.133358656,"PSE","JOR"
"Yemen, Rep.","Jordan",19591.3587093682,"YEM","JOR"
"Zambia","Jordan",0,"ZMB","JOR"
"Zimbabwe","Jordan",0,"ZWE","JOR"
"Other South","Jordan",15387.6045586275,NA,"JOR"
"Other North","Jordan",717.477552555628,NA,"JOR"
"Afghanistan","Kazakhstan",0,"AFG","KAZ"
"Albania","Kazakhstan",0,"ALB","KAZ"
"Algeria","Kazakhstan",0,"DZA","KAZ"
"American Samoa","Kazakhstan",0,"ASM","KAZ"
"Andorra","Kazakhstan",0,"AND","KAZ"
"Angola","Kazakhstan",0,"AGO","KAZ"
"Antigua and Barbuda","Kazakhstan",0,"ATG","KAZ"
"Argentina","Kazakhstan",0,"ARG","KAZ"
"Armenia","Kazakhstan",7356.73857179752,"ARM","KAZ"
"Aruba","Kazakhstan",0,"ABW","KAZ"
"Australia","Kazakhstan",0,"AUS","KAZ"
"Austria","Kazakhstan",0,"AUT","KAZ"
"Azerbaijan","Kazakhstan",38921.1236602531,"AZE","KAZ"
"Bahamas, The","Kazakhstan",0,"BHS","KAZ"
"Bahrain","Kazakhstan",0,"BHR","KAZ"
"Bangladesh","Kazakhstan",0,"BGD","KAZ"
"Barbados","Kazakhstan",0,"BRB","KAZ"
"Belarus","Kazakhstan",55622.9085259556,"BLR","KAZ"
"Belgium","Kazakhstan",0,"BEL","KAZ"
"Belize","Kazakhstan",0,"BLZ","KAZ"
"Benin","Kazakhstan",0,"BEN","KAZ"
"Bermuda","Kazakhstan",0,"BMU","KAZ"
"Bhutan","Kazakhstan",0,"BTN","KAZ"
"Bolivia","Kazakhstan",0,"BOL","KAZ"
"Bosnia and Herzegovina","Kazakhstan",0,"BIH","KAZ"
"Botswana","Kazakhstan",0,"BWA","KAZ"
"Brazil","Kazakhstan",0,"BRA","KAZ"
"Brunei Darussalam","Kazakhstan",0,"BRN","KAZ"
"Bulgaria","Kazakhstan",3429.83082063533,"BGR","KAZ"
"Burkina Faso","Kazakhstan",0,"BFA","KAZ"
"Burundi","Kazakhstan",0,"BDI","KAZ"
"Cambodia","Kazakhstan",0,"KHM","KAZ"
"Cameroon","Kazakhstan",0,"CMR","KAZ"
"Canada","Kazakhstan",0,"CAN","KAZ"
"Cape Verde","Kazakhstan",0,"CPV","KAZ"
"Cayman Islands","Kazakhstan",0,"CYM","KAZ"
"Central African Republic","Kazakhstan",0,"CAF","KAZ"
"Chad","Kazakhstan",0,"TCD","KAZ"
"Channel Islands","Kazakhstan",0,"","KAZ"
"Chile","Kazakhstan",0,"CHL","KAZ"
"China","Kazakhstan",1739.76925684401,"CHN","KAZ"
"Colombia","Kazakhstan",0,"COL","KAZ"
"Comoros","Kazakhstan",0,"COM","KAZ"
"Congo, Dem. Rep.","Kazakhstan",0,"COD","KAZ"
"Congo, Rep.","Kazakhstan",0,"COG","KAZ"
"Costa Rica","Kazakhstan",0,"CRI","KAZ"
"Côte d'Ivoire","Kazakhstan",0,"CIV","KAZ"
"Croatia","Kazakhstan",0,"HRV","KAZ"
"Cuba","Kazakhstan",0,"CUB","KAZ"
"Cyprus","Kazakhstan",0,"CYP","KAZ"
"Czech Republic","Kazakhstan",0,"CZE","KAZ"
"Denmark","Kazakhstan",0,"DNK","KAZ"
"Djibouti","Kazakhstan",0,"DJI","KAZ"
"Dominica","Kazakhstan",0,"DMA","KAZ"
"Dominican Republic","Kazakhstan",0,"DOM","KAZ"
"Ecuador","Kazakhstan",0,"ECU","KAZ"
"Egypt, Arab Rep.","Kazakhstan",0,"EGY","KAZ"
"El Salvador","Kazakhstan",0,"SLV","KAZ"
"Equatorial Guinea","Kazakhstan",0,"GNQ","KAZ"
"Eritrea","Kazakhstan",0,"ERI","KAZ"
"Estonia","Kazakhstan",894.738474948347,"EST","KAZ"
"Ethiopia","Kazakhstan",0,"ETH","KAZ"
"Faeroe Islands","Kazakhstan",0,"FRO","KAZ"
"Fiji","Kazakhstan",0,"FJI","KAZ"
"Finland","Kazakhstan",0,"FIN","KAZ"
"France","Kazakhstan",0,"FRA","KAZ"
"French Polynesia","Kazakhstan",0,"PYF","KAZ"
"Gabon","Kazakhstan",0,"GAB","KAZ"
"Gambia, The","Kazakhstan",0,"GMB","KAZ"
"Georgia","Kazakhstan",2634.50773179236,"GEO","KAZ"
"Germany","Kazakhstan",175666.987248192,"DEU","KAZ"
"Ghana","Kazakhstan",0,"GHA","KAZ"
"Gibraltar","Kazakhstan",0,"GIB","KAZ"
"Greece","Kazakhstan",6312.87701769112,"GRC","KAZ"
"Greenland","Kazakhstan",0,"GRL","KAZ"
"Grenada","Kazakhstan",0,"GRD","KAZ"
"Guam","Kazakhstan",0,"GUM","KAZ"
"Guatemala","Kazakhstan",0,"GTM","KAZ"
"Guinea","Kazakhstan",0,"GIN","KAZ"
"Guinea-Bissau","Kazakhstan",0,"GNB","KAZ"
"Guyana","Kazakhstan",0,"GUY","KAZ"
"Haiti","Kazakhstan",0,"HTI","KAZ"
"Honduras","Kazakhstan",0,"HND","KAZ"
"Hong Kong, China","Kazakhstan",0,"HKG","KAZ"
"Hungary","Kazakhstan",0,"HUN","KAZ"
"Iceland","Kazakhstan",0,"ISL","KAZ"
"India","Kazakhstan",0,"IND","KAZ"
"Indonesia","Kazakhstan",0,"IDN","KAZ"
"Iran, Islamic Rep.","Kazakhstan",1441.52309852789,"IRN","KAZ"
"Iraq","Kazakhstan",0,"IRQ","KAZ"
"Ireland","Kazakhstan",0,"IRL","KAZ"
"Isle of Man","Kazakhstan",0,"IMN","KAZ"
"Israel","Kazakhstan",0,"ISR","KAZ"
"Italy","Kazakhstan",0,"ITA","KAZ"
"Jamaica","Kazakhstan",0,"JAM","KAZ"
"Japan","Kazakhstan",0,"JPN","KAZ"
"Jordan","Kazakhstan",0,"JOR","KAZ"
"Kazakhstan","Kazakhstan",0,"KAZ","KAZ"
"Kenya","Kazakhstan",0,"KEN","KAZ"
"Kiribati","Kazakhstan",0,"KIR","KAZ"
"Korea, Dem. Rep.","Kazakhstan",0,"PRK","KAZ"
"Korea, Rep.","Kazakhstan",0,"KOR","KAZ"
"Kosovo","Kazakhstan",0,"KOS","KAZ"
"Kuwait","Kazakhstan",0,"KWT","KAZ"
"Kyrgyz Republic","Kazakhstan",5418.13854274277,"KGZ","KAZ"
"Lao PDR","Kazakhstan",0,"LAO","KAZ"
"Latvia","Kazakhstan",894.738474948347,"LVA","KAZ"
"Lebanon","Kazakhstan",0,"LBN","KAZ"
"Lesotho","Kazakhstan",0,"LSO","KAZ"
"Liberia","Kazakhstan",0,"LBR","KAZ"
"Libya","Kazakhstan",0,"LBY","KAZ"
"Liechtenstein","Kazakhstan",0,"LIE","KAZ"
"Lithuania","Kazakhstan",3529.2462067407,"LTU","KAZ"
"Luxembourg","Kazakhstan",0,"LUX","KAZ"
"Macao, China","Kazakhstan",0,"MAC","KAZ"
"Macedonia, FYR","Kazakhstan",0,"MKD","KAZ"
"Madagascar","Kazakhstan",0,"MDG","KAZ"
"Malawi","Kazakhstan",0,"MWI","KAZ"
"Malaysia","Kazakhstan",0,"MYS","KAZ"
"Maldives","Kazakhstan",0,"MDV","KAZ"
"Mali","Kazakhstan",0,"MLI","KAZ"
"Malta","Kazakhstan",0,"MLT","KAZ"
"Marshall Islands","Kazakhstan",0,"MHL","KAZ"
"Mauritania","Kazakhstan",0,"MRT","KAZ"
"Mauritius","Kazakhstan",0,"MUS","KAZ"
"Mayotte","Kazakhstan",0,"MYT","KAZ"
"Mexico","Kazakhstan",0,"MEX","KAZ"
"Micronesia, Fed. Sts.","Kazakhstan",0,"FSM","KAZ"
"Moldova","Kazakhstan",9693.00014527376,"MDA","KAZ"
"Monaco","Kazakhstan",0,"MCO","KAZ"
"Mongolia","Kazakhstan",0,"MNG","KAZ"
"Montenegro","Kazakhstan",0,"MNE","KAZ"
"Morocco","Kazakhstan",0,"MAR","KAZ"
"Mozambique","Kazakhstan",0,"MOZ","KAZ"
"Myanmar","Kazakhstan",0,"MMR","KAZ"
"Namibia","Kazakhstan",0,"NAM","KAZ"
"Nepal","Kazakhstan",0,"NPL","KAZ"
"Netherlands","Kazakhstan",0,"NLD","KAZ"
"Netherlands Antilles","Kazakhstan",0,"ANT","KAZ"
"New Caledonia","Kazakhstan",0,"NCL","KAZ"
"New Zealand","Kazakhstan",0,"NZL","KAZ"
"Nicaragua","Kazakhstan",0,"NIC","KAZ"
"Niger","Kazakhstan",0,"NER","KAZ"
"Nigeria","Kazakhstan",0,"NGA","KAZ"
"Northern Mariana Islands","Kazakhstan",0,"MNP","KAZ"
"Norway","Kazakhstan",0,"NOR","KAZ"
"Oman","Kazakhstan",0,"OMN","KAZ"
"Pakistan","Kazakhstan",0,"PAK","KAZ"
"Palau","Kazakhstan",0,"PLW","KAZ"
"Panama","Kazakhstan",0,"PAN","KAZ"
"Papua New Guinea","Kazakhstan",0,"PNG","KAZ"
"Paraguay","Kazakhstan",0,"PRY","KAZ"
"Peru","Kazakhstan",0,"PER","KAZ"
"Philippines","Kazakhstan",0,"PHL","KAZ"
"Poland","Kazakhstan",23511.7388139205,"POL","KAZ"
"Portugal","Kazakhstan",0,"PRT","KAZ"
"Puerto Rico","Kazakhstan",0,"PRI","KAZ"
"Qatar","Kazakhstan",0,"QAT","KAZ"
"Romania","Kazakhstan",0,"ROU","KAZ"
"Russian Federation","Kazakhstan",2226705.81798812,"RUS","KAZ"
"Rwanda","Kazakhstan",0,"RWA","KAZ"
"Samoa","Kazakhstan",0,"WSM","KAZ"
"San Marino","Kazakhstan",0,"SMR","KAZ"
"São Tomé and Principe","Kazakhstan",0,"STP","KAZ"
"Saudi Arabia","Kazakhstan",0,"SAU","KAZ"
"Senegal","Kazakhstan",0,"SEN","KAZ"
"Serbia","Kazakhstan",0,"SRB","KAZ"
"Seychelles","Kazakhstan",0,"SYC","KAZ"
"Sierra Leone","Kazakhstan",0,"SLE","KAZ"
"Singapore","Kazakhstan",0,"SGP","KAZ"
"Slovak Republic","Kazakhstan",0,"SVK","KAZ"
"Slovenia","Kazakhstan",0,"SVN","KAZ"
"Solomon Islands","Kazakhstan",0,"SLB","KAZ"
"Somalia","Kazakhstan",0,"SOM","KAZ"
"South Africa","Kazakhstan",0,"ZAF","KAZ"
"Spain","Kazakhstan",0,"ESP","KAZ"
"Sri Lanka","Kazakhstan",0,"LKA","KAZ"
"St. Kitts and Nevis","Kazakhstan",0,"KNA","KAZ"
"St. Lucia","Kazakhstan",0,"LCA","KAZ"
"St. Vincent and the Grenadines","Kazakhstan",0,"VCT","KAZ"
"Sudan","Kazakhstan",0,"SDN","KAZ"
"Suriname","Kazakhstan",0,"SUR","KAZ"
"Swaziland","Kazakhstan",0,"SWZ","KAZ"
"Sweden","Kazakhstan",0,"SWE","KAZ"
"Switzerland","Kazakhstan",0,"CHE","KAZ"
"Syrian Arab Republic","Kazakhstan",0,"SYR","KAZ"
"Tajikistan","Kazakhstan",12774.8771145403,"TJK","KAZ"
"Tanzania","Kazakhstan",0,"TZA","KAZ"
"Thailand","Kazakhstan",0,"THA","KAZ"
"Timor-Leste","Kazakhstan",0,"TLS","KAZ"
"Togo","Kazakhstan",0,"TGO","KAZ"
"Tonga","Kazakhstan",0,"TON","KAZ"
"Trinidad and Tobago","Kazakhstan",0,"TTO","KAZ"
"Tunisia","Kazakhstan",0,"TUN","KAZ"
"Turkey","Kazakhstan",37728.1390269886,"TUR","KAZ"
"Turkmenistan","Kazakhstan",845.030781895661,"TKM","KAZ"
"Turks and Caicos Islands","Kazakhstan",0,"TCA","KAZ"
"Tuvalu","Kazakhstan",0,"TUV","KAZ"
"Uganda","Kazakhstan",0,"UGA","KAZ"
"Ukraine","Kazakhstan",271950.788691245,"UKR","KAZ"
"United Arab Emirates","Kazakhstan",0,"ARE","KAZ"
"United Kingdom","Kazakhstan",0,"GBR","KAZ"
"United States","Kazakhstan",0,"USA","KAZ"
"Uruguay","Kazakhstan",0,"URY","KAZ"
"Uzbekistan","Kazakhstan",184266.418146307,"UZB","KAZ"
"Vanuatu","Kazakhstan",0,"VUT","KAZ"
"Venezuela, RB","Kazakhstan",0,"VEN","KAZ"
"Vietnam","Kazakhstan",0,"VNM","KAZ"
"Virgin Islands (U.S.)","Kazakhstan",0,"VIR","KAZ"
"West Bank and Gaza","Kazakhstan",0,"PSE","KAZ"
"Yemen, Rep.","Kazakhstan",0,"YEM","KAZ"
"Zambia","Kazakhstan",0,"ZMB","KAZ"
"Zimbabwe","Kazakhstan",0,"ZWE","KAZ"
"Other South","Kazakhstan",7601.88853438778,NA,"KAZ"
"Other North","Kazakhstan",550.173126252161,NA,"KAZ"
"Afghanistan","Kenya",0,"AFG","KEN"
"Albania","Kenya",0,"ALB","KEN"
"Algeria","Kenya",0,"DZA","KEN"
"American Samoa","Kenya",0,"ASM","KEN"
"Andorra","Kenya",0,"AND","KEN"
"Angola","Kenya",0,"AGO","KEN"
"Antigua and Barbuda","Kenya",0,"ATG","KEN"
"Argentina","Kenya",0,"ARG","KEN"
"Armenia","Kenya",0,"ARM","KEN"
"Aruba","Kenya",0,"ABW","KEN"
"Australia","Kenya",0,"AUS","KEN"
"Austria","Kenya",0,"AUT","KEN"
"Azerbaijan","Kenya",0,"AZE","KEN"
"Bahamas, The","Kenya",0,"BHS","KEN"
"Bahrain","Kenya",0,"BHR","KEN"
"Bangladesh","Kenya",0,"BGD","KEN"
"Barbados","Kenya",0,"BRB","KEN"
"Belarus","Kenya",0,"BLR","KEN"
"Belgium","Kenya",0,"BEL","KEN"
"Belize","Kenya",0,"BLZ","KEN"
"Benin","Kenya",0,"BEN","KEN"
"Bermuda","Kenya",0,"BMU","KEN"
"Bhutan","Kenya",0,"BTN","KEN"
"Bolivia","Kenya",0,"BOL","KEN"
"Bosnia and Herzegovina","Kenya",0,"BIH","KEN"
"Botswana","Kenya",0,"BWA","KEN"
"Brazil","Kenya",0,"BRA","KEN"
"Brunei Darussalam","Kenya",0,"BRN","KEN"
"Bulgaria","Kenya",0,"BGR","KEN"
"Burkina Faso","Kenya",0,"BFA","KEN"
"Burundi","Kenya",0,"BDI","KEN"
"Cambodia","Kenya",0,"KHM","KEN"
"Cameroon","Kenya",0,"CMR","KEN"
"Canada","Kenya",0,"CAN","KEN"
"Cape Verde","Kenya",0,"CPV","KEN"
"Cayman Islands","Kenya",0,"CYM","KEN"
"Central African Republic","Kenya",0,"CAF","KEN"
"Chad","Kenya",0,"TCD","KEN"
"Channel Islands","Kenya",0,"","KEN"
"Chile","Kenya",0,"CHL","KEN"
"China","Kenya",0,"CHN","KEN"
"Colombia","Kenya",0,"COL","KEN"
"Comoros","Kenya",0,"COM","KEN"
"Congo, Dem. Rep.","Kenya",0,"COD","KEN"
"Congo, Rep.","Kenya",0,"COG","KEN"
"Costa Rica","Kenya",0,"CRI","KEN"
"Côte d'Ivoire","Kenya",0,"CIV","KEN"
"Croatia","Kenya",0,"HRV","KEN"
"Cuba","Kenya",0,"CUB","KEN"
"Cyprus","Kenya",0,"CYP","KEN"
"Czech Republic","Kenya",0,"CZE","KEN"
"Denmark","Kenya",0,"DNK","KEN"
"Djibouti","Kenya",0,"DJI","KEN"
"Dominica","Kenya",0,"DMA","KEN"
"Dominican Republic","Kenya",0,"DOM","KEN"
"Ecuador","Kenya",0,"ECU","KEN"
"Egypt, Arab Rep.","Kenya",0,"EGY","KEN"
"El Salvador","Kenya",0,"SLV","KEN"
"Equatorial Guinea","Kenya",0,"GNQ","KEN"
"Eritrea","Kenya",0,"ERI","KEN"
"Estonia","Kenya",0,"EST","KEN"
"Ethiopia","Kenya",30763.4422282788,"ETH","KEN"
"Faeroe Islands","Kenya",0,"FRO","KEN"
"Fiji","Kenya",0,"FJI","KEN"
"Finland","Kenya",0,"FIN","KEN"
"France","Kenya",0,"FRA","KEN"
"French Polynesia","Kenya",0,"PYF","KEN"
"Gabon","Kenya",0,"GAB","KEN"
"Gambia, The","Kenya",0,"GMB","KEN"
"Georgia","Kenya",0,"GEO","KEN"
"Germany","Kenya",0,"DEU","KEN"
"Ghana","Kenya",0,"GHA","KEN"
"Gibraltar","Kenya",0,"GIB","KEN"
"Greece","Kenya",0,"GRC","KEN"
"Greenland","Kenya",0,"GRL","KEN"
"Grenada","Kenya",0,"GRD","KEN"
"Guam","Kenya",0,"GUM","KEN"
"Guatemala","Kenya",0,"GTM","KEN"
"Guinea","Kenya",0,"GIN","KEN"
"Guinea-Bissau","Kenya",0,"GNB","KEN"
"Guyana","Kenya",0,"GUY","KEN"
"Haiti","Kenya",0,"HTI","KEN"
"Honduras","Kenya",0,"HND","KEN"
"Hong Kong, China","Kenya",0,"HKG","KEN"
"Hungary","Kenya",0,"HUN","KEN"
"Iceland","Kenya",0,"ISL","KEN"
"India","Kenya",0,"IND","KEN"
"Indonesia","Kenya",0,"IDN","KEN"
"Iran, Islamic Rep.","Kenya",0,"IRN","KEN"
"Iraq","Kenya",0,"IRQ","KEN"
"Ireland","Kenya",0,"IRL","KEN"
"Isle of Man","Kenya",0,"IMN","KEN"
"Israel","Kenya",0,"ISR","KEN"
"Italy","Kenya",0,"ITA","KEN"
"Jamaica","Kenya",0,"JAM","KEN"
"Japan","Kenya",0,"JPN","KEN"
"Jordan","Kenya",0,"JOR","KEN"
"Kazakhstan","Kenya",0,"KAZ","KEN"
"Kenya","Kenya",0,"KEN","KEN"
"Kiribati","Kenya",0,"KIR","KEN"
"Korea, Dem. Rep.","Kenya",0,"PRK","KEN"
"Korea, Rep.","Kenya",0,"KOR","KEN"
"Kosovo","Kenya",0,"KOS","KEN"
"Kuwait","Kenya",0,"KWT","KEN"
"Kyrgyz Republic","Kenya",0,"KGZ","KEN"
"Lao PDR","Kenya",0,"LAO","KEN"
"Latvia","Kenya",0,"LVA","KEN"
"Lebanon","Kenya",0,"LBN","KEN"
"Lesotho","Kenya",0,"LSO","KEN"
"Liberia","Kenya",0,"LBR","KEN"
"Libya","Kenya",0,"LBY","KEN"
"Liechtenstein","Kenya",0,"LIE","KEN"
"Lithuania","Kenya",0,"LTU","KEN"
"Luxembourg","Kenya",0,"LUX","KEN"
"Macao, China","Kenya",0,"MAC","KEN"
"Macedonia, FYR","Kenya",0,"MKD","KEN"
"Madagascar","Kenya",0,"MDG","KEN"
"Malawi","Kenya",0,"MWI","KEN"
"Malaysia","Kenya",0,"MYS","KEN"
"Maldives","Kenya",0,"MDV","KEN"
"Mali","Kenya",0,"MLI","KEN"
"Malta","Kenya",0,"MLT","KEN"
"Marshall Islands","Kenya",0,"MHL","KEN"
"Mauritania","Kenya",0,"MRT","KEN"
"Mauritius","Kenya",0,"MUS","KEN"
"Mayotte","Kenya",0,"MYT","KEN"
"Mexico","Kenya",0,"MEX","KEN"
"Micronesia, Fed. Sts.","Kenya",0,"FSM","KEN"
"Moldova","Kenya",0,"MDA","KEN"
"Monaco","Kenya",0,"MCO","KEN"
"Mongolia","Kenya",0,"MNG","KEN"
"Montenegro","Kenya",0,"MNE","KEN"
"Morocco","Kenya",0,"MAR","KEN"
"Mozambique","Kenya",0,"MOZ","KEN"
"Myanmar","Kenya",0,"MMR","KEN"
"Namibia","Kenya",0,"NAM","KEN"
"Nepal","Kenya",0,"NPL","KEN"
"Netherlands","Kenya",0,"NLD","KEN"
"Netherlands Antilles","Kenya",0,"ANT","KEN"
"New Caledonia","Kenya",0,"NCL","KEN"
"New Zealand","Kenya",0,"NZL","KEN"
"Nicaragua","Kenya",0,"NIC","KEN"
"Niger","Kenya",0,"NER","KEN"
"Nigeria","Kenya",0,"NGA","KEN"
"Northern Mariana Islands","Kenya",0,"MNP","KEN"
"Norway","Kenya",0,"NOR","KEN"
"Oman","Kenya",0,"OMN","KEN"
"Pakistan","Kenya",0,"PAK","KEN"
